gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),53.09,3639.14,No
Male,0,No,No,34,Yes,No,No,No internet service,No internet service,No,No,No,Yes,One year,Yes,Credit card (automatic),61.38,2094.48,No
Male,0,No,No,63,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No,One year,Yes,Credit card (automatic),108.39,6838.79,No
Female,1,No,No,61,Yes,Yes,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.78,5520.52,No
Male,0,No,No,59,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,53.18,3122.15,No
Male,0,Yes,No,11,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,96.72,1088.5,Yes
Female,0,Yes,No,29,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,99.03,2847.95,No
Male,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),32.89,1764.07,No
Female,0,No,Yes,5,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,111.16,534.83,Yes
Male,0,Yes,Yes,26,Yes,Yes,DSL,No internet service,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),99.14,2605.42,Yes
Female,0,No,Yes,20,Yes,No,Fiber optic,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,117.26,2333.39,No
Female,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No,One year,No,Electronic check,35.87,467.97,No
Male,1,Yes,Yes,51,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,105.53,5354.58,No
Male,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,91.79,6412.83,No
Male,0,No,No,28,No,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),29.7,855.27,No
Female,0,Yes,No,55,Yes,No,No,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.82,4775.44,No
Male,0,Yes,No,62,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,Two year,Yes,Electronic check,77.38,4819.55,No
Male,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,96.78,2242.99,Yes
Female,0,No,Yes,52,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,No,Mailed check,116.6,6077.85,No
