gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,Yes,31,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),83.87,2574.06,Yes
Male,0,No,No,36,Yes,No,Fiber optic,Yes,Yes,No,No,No,No internet service,Two year,No,Mailed check,53.94,1917.75,No
Female,0,Yes,No,59,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.64,5237.12,Yes
Female,1,No,No,64,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),66.65,4245.55,No
Male,0,Yes,No,53,Yes,No,DSL,No,No internet service,No,No,No,Yes,Two year,No,Bank transfer (automatic),96.93,5122.8,No
Male,0,No,Yes,49,No,No,No,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,52.41,2588.23,No
Female,0,No,Yes,18,No,No phone service,DSL,Yes,No,Yes,No internet service,Yes,No,Two year,No,Mailed check,74.86,1324.55,No
Female,0,Yes,Yes,41,Yes,No,No,No,No internet service,Yes,Yes,No internet service,No,One year,Yes,Electronic check,62.6,2563.2,No
Male,0,No,No,30,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),97.51,2932.04,No
Male,0,No,No,30,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,83.76,2534.84,No
Male,0,Yes,No,69,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,No,Mailed check,43.83,3019.63,No
Female,0,No,No,21,Yes,No,DSL,Yes,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,93.55,1991.87,No
Female,0,No,No,32,Yes,Yes,DSL,No internet service,No internet service,No,No,No internet service,Yes,Two year,No,Electronic check,59.36,1879.15,No
Male,0,No,Yes,35,Yes,No,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),35.56,1239.42,No
Male,1,Yes,Yes,30,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),27.4,832.58,Yes
